ID,Unit,Section,Topic Number,Topic Name,Content Detail,Type,Status,Confidence (1-5),Priority,A-Level Only,Key Concepts/Formulae,Skills Development Ref,Required Practical Link,Maths Skill Link,YouTube Link (Verify!),Exam Paper Ref,Is Synoptic,Notes
SpecIntro,"Specification Introduction","1.1 Why choose AQA","","",Relevant in the classroom and the real world,Meta,Confident,5,Low,FALSE,,,,,,,,,
SpecIntro,"Specification Introduction","1.1 Why choose AQA","","",The way you teach – your choice (Context-free style),Meta,Confident,5,Low,FALSE,,,,,,,,,
SpecIntro,"Specification Introduction","1.1 Why choose AQA","","",Optional Topics Provided (Astrophysics, Medical, Turning points, Engineering, Electronics),Meta,Confident,5,Low,TRUE,,,,,,,,,Introduces the 5 options for Paper 3B
SpecIntro,"Specification Introduction","1.1 Why choose AQA","","",Practical at the heart of science,Meta,Confident,5,Low,FALSE,"Experimental subject, Link theory to reality",,,,,,,,
SpecIntro,"Specification Introduction","1.1 Why choose AQA","","",Teach AS and A-level together (Co-teachable),Meta,Confident,5,Low,FALSE,,,,,,,,,
SpecIntro,"Specification Introduction","1.2 Support and resources","","",Teaching resources available (aqa.org.uk/7408),Meta,Confident,5,Low,FALSE,,,,,,,,,
SpecIntro,"Specification Introduction","1.2 Support and resources","","",Preparing for exams (Past papers, ERA tool),Meta,Confident,5,Low,FALSE,,,,,,,,,
SpecAtGlance,"Specification at a glance","Core content","1","Measurements and their errors (page 11)",Core Content Section,Confident,5,High,FALSE,,,,,,Paper 1/2/3A,,AS Sections 1-5
SpecAtGlance,"Specification at a glance","Core content","2","Particles and radiation (page 12)",Core Content Section,Confident,5,High,FALSE,,,,,,Paper 1/2/3A,,AS Sections 1-5
SpecAtGlance,"Specification at a glance","Core content","3","Waves (page 18)",Core Content Section,Confident,5,High,FALSE,,,,,,Paper 1/2/3A,,AS Sections 1-5
SpecAtGlance,"Specification at a glance","Core content","4","Mechanics and materials (page 21)",Core Content Section,Confident,5,High,FALSE,,,,,,Paper 1/2/3A,,AS Sections 1-5
SpecAtGlance,"Specification at a glance","Core content","5","Electricity (page 27)",Core Content Section,Confident,5,High,FALSE,,,,,,Paper 1/2/3A,,AS Sections 1-5
SpecAtGlance,"Specification at a glance","Core content","6","Further mechanics and thermal physics (A-level only) (page 29)",Core Content Section,Confident,5,High,TRUE,,,,,,Paper 1/2,,Section 6.1 on Paper 1, 6.2 on Paper 2
SpecAtGlance,"Specification at a glance","Core content","7","Fields and their consequences (A-level only) (page 33)",Core Content Section,Confident,5,High,TRUE,,,,,,Paper 2,,
SpecAtGlance,"Specification at a glance","Core content","8","Nuclear physics (A-level only) (page 41)",Core Content Section,Confident,5,High,TRUE,,,,,,Paper 2,,
SpecAtGlance,"Specification at a glance","Options","9","Astrophysics (A-level only) (page 45)",Option Section,Confident,5,Medium,TRUE,,,,,,Paper 3B,,Choose ONE option
SpecAtGlance,"Specification at a glance","Options","10","Medical physics (A-level only) (page 49)",Option Section,Confident,5,Medium,TRUE,,,,,,Paper 3B,,Choose ONE option
SpecAtGlance,"Specification at a glance","Options","11","Engineering physics (A-level only) (page 54)",Option Section,Confident,5,Medium,TRUE,,,,,,Paper 3B,,Choose ONE option
SpecAtGlance,"Specification at a glance","Options","12","Turning points in physics (A-level only) (page 59)",Option Section,Confident,5,Medium,TRUE,,,,,,Paper 3B,,Choose ONE option
SpecAtGlance,"Specification at a glance","Options","13","Electronics (A-level only) (page 63)",Option Section,Confident,5,Medium,TRUE,,,,,,Paper 3B,,Choose ONE option
SpecAssessAS,"AS Assessments","Paper 1","","What's assessed: Sections 1 - 5",Meta,Confident,5,Low,FALSE,,,,,,,AS Paper 1,
SpecAssessAS,"AS Assessments","Paper 1","","Assessed: written exam: 1 hour 30 minutes, 70 marks, 50% of AS",Meta,Confident,5,Low,FALSE,,,,,,,AS Paper 1,
SpecAssessAS,"AS Assessments","Paper 1","","Questions: 70 marks of short and long answer questions split by topic.",Meta,Confident,5,Low,FALSE,,,,,,,AS Paper 1,
SpecAssessAS,"AS Assessments","Paper 2","","What's assessed: Sections 1 - 5",Meta,Confident,5,Low,FALSE,,,,,,,AS Paper 2,
SpecAssessAS,"AS Assessments","Paper 2","","Assessed: written exam: 1 hour 30 minutes, 70 marks, 50% of AS",Meta,Confident,5,Low,FALSE,,,,,,,AS Paper 2,
SpecAssessAS,"AS Assessments","Paper 2","","Questions: Section A: 20 marks practical skills/data analysis. Section B: 20 marks AS content. Section C: 30 multiple choice questions.",Meta,Confident,5,Low,FALSE,,,,,,,AS Paper 2,
SpecAssessAlevel,"A-level Assessments","Paper 1","","What's assessed: Sections 1 - 5 and 6.1 (Periodic motion)",Meta,Confident,5,Low,FALSE,,,,,,,Paper 1,
SpecAssessAlevel,"A-level Assessments","Paper 1","","Assessed: written exam: 2 hours, 85 marks, 34% of A-level",Meta,Confident,5,Low,FALSE,,,,,,,Paper 1,
SpecAssessAlevel,"A-level Assessments","Paper 1","","Questions: 60 marks short/long answer + 25 multiple choice questions on content.",Meta,Confident,5,Low,FALSE,,,,,,,Paper 1,
SpecAssessAlevel,"A-level Assessments","Paper 2","","What's assessed: Sections 6.2 (Thermal Physics), 7 and 8. Assumed knowledge from sections 1 to 6.1",Meta,Confident,5,Low,TRUE,,,,,,,Paper 2,
SpecAssessAlevel,"A-level Assessments","Paper 2","","Assessed: written exam: 2 hours, 85 marks, 34% of A-level",Meta,Confident,5,Low,TRUE,,,,,,,Paper 2,
SpecAssessAlevel,"A-level Assessments","Paper 2","","Questions: 60 marks short/long answer questions and 25 multiple choice questions on content.",Meta,Confident,5,Low,TRUE,,,,,,,Paper 2,
SpecAssessAlevel,"A-level Assessments","Paper 3","","What's assessed: Section A: Compulsory practical skills and data analysis. Section B: Students enter for one of sections 9, 10, 11, 12 or 13",Meta,Confident,5,Low,TRUE,,,,,,,Paper 3A/3B,
SpecAssessAlevel,"A-level Assessments","Paper 3","","Assessed: written exam: 2 hours, 80 marks, 32% of A-level",Meta,Confident,5,Low,TRUE,,,,,,,Paper 3A/3B,
SpecAssessAlevel,"A-level Assessments","Paper 3","","Questions: 45 marks (Section A) practical experiments/data analysis. 35 marks (Section B) optional topic.",Meta,Confident,5,Low,TRUE,,,,,,,Paper 3A/3B,
3.1,"3.1 Measurements and their errors",,,,"",Core Content Section,Not Started,1,High,FALSE,,,,,,Paper 1/2/3A,TRUE,"Foundational"
3.1.1,"3.1 Measurements and their errors","3.1.1 Use of SI units and their prefixes",,,"",Core Content SubSection,Not Started,1,High,FALSE,,,,,,Paper 1/2/3A,TRUE,
3.1.1.a,"3.1 Measurements and their errors","3.1.1 Use of SI units and their prefixes",,,"Fundamental (base) units.",Core Content,Not Started,1,High,FALSE,"mass, length, time, amount of substance, temperature, electric current",,,MS 0.1,https://www.youtube.com/@understandingphysicsbydave1349/search?query=Fundamental+base+SI+units+AQA,Paper 1/2/3A,TRUE,"Must know list"
